compound,spacegroup,spacegroup_number,wyckoff_positions,atomic_species,number_of_atoms,cif_path,label
B4 Tc1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
B4 Ti3,Immm,71,"1a,2e,1b","['Ag', 'Pb', 'Pd']",4,cifs_linked/mp-1097539.cif,TI
B4 Tm1,P 4/ mbm,127,"8i,2d,8i,8i,8j,4g,2c","['Al', 'F']",40,cifs_linked/mp-555026.cif,TI
B4 Yb1,P 4/ mbm,127,"8i,2d,8i,8i,8j,4g,2c","['Al', 'F']",40,cifs_linked/mp-555026.cif,TI
B6 Ba1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
B6 Ca1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
B6 Er1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
B6 Gd1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
B6 Pu1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
B6 Sr1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
B6 Yb1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Be2 V1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Be2 W1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Bi1 I1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Bi1 I3,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Bi1 I3,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Bi1 I3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Bi1 Y1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Bi3 Y5,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Br1 K1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Br5 W1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Br5 W1,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
C1 Co2,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,TI
C1 Cr1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
C1 Cr3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C1 Fe2,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,TI
C1 Fe2,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C1 Fe2,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
C1 Fe3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C1 Fe3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C1 Fe3,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C1 Fe4,P 2 1 / m,11,"2e,2e,4f,4f,4f,4f,2e,4f,2e,2e,2e,2e,2e,2e,2e,4f,2e,2e,4f,2e,4f,2e,2e,2e","['Ag', 'As', 'I', 'O']",64,cifs_linked/mp-1199256.cif,TI
C1 Hf1,P -6 m 2,187,"1a,3j,3j,6l,6l,3j,3j,6n,2i,12o,6n,6n,12o,6n,6n,6n,6n,12o,6n,2g,12o,3k,3k,6m,1f,6m,3k,3k","['Ac', 'Mg']",150,cifs_linked/mp-1184231.cif,TI
C1 Hf1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Li2,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C1 Li8,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
C1 Mg2,P 4 2 / mnm,136,"4f,4g","['B', 'N']",8,cifs_linked/mp-13151.cif,TI
C1 Mo1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
C1 Mo1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
C1 Mo2,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
C1 Mo2,Pbcn,60,"8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d","['Ag', 'B', 'Cl', 'H', 'N']",152,cifs_linked/mp-1194697.cif,TI
C1 Mo3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C1 Nb2,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
C1 Ni1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Ni3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C1 Os1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Pd1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Pt1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Ru1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Ta2,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
C1 Tb2,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
C1 Th1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
C1 Ti2,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
C1 Zr1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
C1 Zr2,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
C2 Ca1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C2 Ca1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C2 Ca1,P 6/ mmm,191,"1a,2e","['Au', 'C']",3,cifs_linked/mp-1214766.cif,TI
C2 Cr3,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
C2 Cr3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C2 Cr3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C2 Er1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
C2 Fe5,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
C2 Gd1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
C2 Nd1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
C2 Nd1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
C2 Si1,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,TI
C2 Yb1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
C3 Am2,I -43 d,220,"24e,6a,8c,24e,8c,6b","['Ag', 'Cl', 'P', 'S']",76,cifs_linked/mp-560328.cif,TI
C3 Cr7,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C3 Fe7,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
C3 La2,I -43 d,220,"24e,6a,8c,24e,8c,6b","['Ag', 'Cl', 'P', 'S']",76,cifs_linked/mp-560328.cif,TI
C3 Lu2,I -43 d,220,"24e,6a,8c,24e,8c,6b","['Ag', 'Cl', 'P', 'S']",76,cifs_linked/mp-560328.cif,TI
C3 Nd2,I -43 d,220,"24e,6a,8c,24e,8c,6b","['Ag', 'Cl', 'P', 'S']",76,cifs_linked/mp-560328.cif,TI
C3 Os2,Pbcn,60,"8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d","['Ag', 'B', 'Cl', 'H', 'N']",152,cifs_linked/mp-1194697.cif,TI
C3 Sc2,I -43 d,220,"24e,6a,8c,24e,8c,6b","['Ag', 'Cl', 'P', 'S']",76,cifs_linked/mp-560328.cif,TI
C3 Zr4,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
C3 Zr4,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C4 Ir1,Pbca,61,"8c,8c,8c,8c,8c,8c,8c,8c,8c,8c,8c","['Ag', 'Hg', 'O', 'Se']",88,cifs_linked/mp-558763.cif,TI
C5 Nb6,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C5 Nb6,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
C5 Tb4,Pbam,55,"4h,8i,4g,4g,8i,4g","['Ag', 'As', 'Hg', 'O']",32,cifs_linked/mp-558188.cif,TI
C5 Ti8,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Ca1 P3,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
Cd3 N2,Ia -3,206,"4b,4a,24e","['Ag', 'F', 'Sb']",32,cifs_linked/mp-3414.cif,TI
Ce1 O1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Ce1 O2,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
Ce1 P2,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Ce1 S1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Ce1 S2,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Ce1 S2,P 4/ nmm,129,"2c,2c,2a","['Ac', 'Br', 'O']",6,cifs_linked/mp-30274.cif,TI
Ce2 O3,Ia -3,206,"4b,4a,24e","['Ag', 'F', 'Sb']",32,cifs_linked/mp-3414.cif,TI
Ce2 O3,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
Ce2 O3,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
Cl3 V1,R -3,148,"2c,3d,1a,6f","['Ag', 'H', 'I', 'O']",12,cifs_linked/mp-555477.cif,TI
Cl4 V1,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Co1 N1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Co1 N3,Im -3,204,"4c,12g,12g,3b,24h,6e,1a","['Al', 'C', 'H', 'O']",62,cifs_linked/mp-1199608.cif,TI
Co1 P1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Co1 Y1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Co1 Y3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Co2 U1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Co3 V1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Co3 V1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Co3 Y1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Co7 Y2,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Cr1 N2,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Cr1 O2,Pbcn,60,"8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d,8d","['Ag', 'B', 'Cl', 'H', 'N']",152,cifs_linked/mp-1194697.cif,TI
Cr1 P4,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
Cr1 S1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Cr1 S2,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Cr2 O3,R -3 c,167,"4c,6e","['Ac', 'S']",10,cifs_linked/mp-977351.cif,TI
Cr2 S3,R -3,148,"2c,3d,1a,6f","['Ag', 'H', 'I', 'O']",12,cifs_linked/mp-555477.cif,TI
Cr2 S3,R -3,148,"2c,3d,1a,6f","['Ag', 'H', 'I', 'O']",12,cifs_linked/mp-555477.cif,TI
Cr3 O8,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Cr3 P1,I -4,82,"1d,1b,1a,4g","['Ag', 'Hg', 'I']",7,cifs_linked/mp-23485.cif,TI
Cr3 S4,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Cr3 S4,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Cr5 S6,P -31 c,163,"4f,2c,2b,12i","['Al', 'O']",20,cifs_linked/mp-755175.cif,TI
Cu1 F1,F -43 m,216,"1a,1c,1d","['Ac', 'F', 'O']",3,cifs_linked/mp-36526.cif,TI
Cu1 I1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Cu1 Y1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Cu2 S1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Cu2 S1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Cu2 Y1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Cu3 N1,P 4/ mmm,123,"2a,4g,4f,4e,2c","['Al', 'F', 'Tl']",16,cifs_linked/mp-1539038.cif,TI
Cu3 P1,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
Cu4 O3,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
Dy1 S2,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Dy1 S2,P 4/ nmm,129,"2c,2c,2a","['Ac', 'Br', 'O']",6,cifs_linked/mp-30274.cif,TI
Dy2 O3,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
Dy2 S3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Er1 S1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Er1 S2,P 4/ nmm,129,"2c,2c,2a","['Ac', 'Br', 'O']",6,cifs_linked/mp-30274.cif,TI
Er2 O3,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Er2 S3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Er5 S7,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Eu1 N1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Eu1 P7,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
F2 Mn1,Pbca,61,"8c,8c,8c,8c,8c,8c,8c,8c,8c,8c,8c","['Ag', 'Hg', 'O', 'Se']",88,cifs_linked/mp-558763.cif,TI
F3 Mn1,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
F4 Tc1,Pbca,61,"8c,8c,8c,8c,8c,8c,8c,8c,8c,8c,8c","['Ag', 'Hg', 'O', 'Se']",88,cifs_linked/mp-558763.cif,TI
F5 Os1,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Fe1 O1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Fe1 O3,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
Fe1 O3,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
Fe1 O3,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Fe1 S1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Fe1 S1,P -62 c,190,"4f,2c,2b,4f,6h,4f,12i","['Ag', 'Al', 'Bi', 'Cl', 'S']",34,cifs_linked/mp-1194539.cif,TI
Fe1 S1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Fe2 O1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Fe2 O1,P -3 m 1,164,"2d,2d,1a","['Ac', 'O']",5,cifs_linked/mp-11107.cif,TI
Fe2 O3,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
